가맹점ID,가맹점명,맞춤형설명,업종,개설일,폐업일,주소,상권,유동고객비율_3m,유동고객비율_2m,유동고객비율_1m,직장고객비율_3m,직장고객비율_2m,직장고객비율_1m,거주고객비율_3m,거주고객비율_2m,거주고객비율_1m,신규고객비율_3m,신규고객비율_2m,신규고객비율_1m,재방문율_3m,재방문율_2m,재방문율_1m,상권내폐업비율_3m,상권내폐업비율_2m,상권내폐업비율_1m,업종내폐업비율_3m,업종내폐업비율_2m,업종내폐업비율_1m,상권내매출순위비율_3m,상권내매출순위비율_2m,상권내매출순위비율_1m,업종내매출순위비율_3m,업종내매출순위비율_2m,업종내매출순위비율_1m,신규고객비율_추세,상권내매출순위비율_추세,업종내매출순위비율_추세,유동고객비율_추세,상권내폐업비율_추세,업종내폐업비율_추세,재방문율_추세,매출금액구간_추세,거주고객비율_추세,직장고객비율_추세,매출건수구간_추세,매출건수구간_3m,매출건수구간_2m,매출건수구간_1m,매출금액구간_3m,매출금액구간_2m,매출금액구간_1m
365914E11C,청계**,"폐업 위험도: 높음 (0.97). 주요 원인: 운영개월수구간 영향도 4.86, 업종내폐업비율 영향도 1.67, 신규고객비율 영향도 0.71. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율 높음",카페,2021-04-08,2023-09-13,서울특별시 성동구 청계천로10가길 64-12,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
32F21633BE,싸부****,"폐업 위험도: 높음 (0.96). 주요 원인: 운영개월수구간 영향도 5.63, 신규고객비율 영향도 0.75, 군집_고객관계_KM 영향도 0.73. 고객유형: 고르게 분포, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",한식-단품요리일반,2020-07-03,2023-10-31,서울특별시 성동구 왕십리로 363,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
C71D78655F,그레******,"폐업 위험도: 높음 (0.94). 주요 원인: 운영개월수구간 영향도 5.29, 업종내폐업비율 영향도 2.03, 신규고객비율 영향도 0.80. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",카페,2022-03-24,2023-10-18,서울특별시 성동구 자동차시장1길 85,장한평자동차,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
E9CAEBD784,남원***,"폐업 위험도: 높음 (0.94). 주요 원인: 운영개월수구간 영향도 4.88, 업종_대분류 영향도 2.08, 상권내폐업비율 영향도 0.76. 고객유형: 50-60대 남녀 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",한식-해물/생선,2018-05-14,2023-11-27,서울특별시 성동구 용답중앙11길 13,답십리,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
3D4F4809F0,훈*,"폐업 위험도: 중간 (0.65). 주요 원인: 운영개월수구간 영향도 5.26, 신규고객비율 영향도 0.82, 업종내매출순위비율 영향도 0.62. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",일식당,2022-06-22,2023-11-13,서울특별시 성동구 서울숲4길 22-7,뚝섬,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
E476C4A851,마르***,"폐업 위험도: 높음 (0.95). 주요 원인: 운영개월수구간 영향도 5.24, 여성20대이하비율 영향도 1.03, 신규고객비율 영향도 0.73. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",한식-단품요리일반,2021-05-21,2024-01-02,서울특별시 성동구 아차산로 126,성수,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
E9CC23245B,싼(***********,"폐업 위험도: 높음 (0.91). 주요 원인: 운영개월수구간 영향도 4.72, 매출건수구간 영향도 1.01, 상권내폐업비율 영향도 0.86. 고객유형: 고객유형 미정, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",피자,2022-01-06,2024-03-05,서울특별시 성동구 마조로1길 26-5,한양대,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
D488494DEF,경원**,"폐업 위험도: 낮음 (0.00). 주요 원인: 운영개월수구간 영향도 4.06, 여성20대이하비율 영향도 -1.15, 상권내폐업비율 영향도 -0.64. 고객유형: 50-60대 남녀 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",축산물,2018-10-01,2024-04-02,서울특별시 성동구 고산자로26길 12,마장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
97BB136954,고기****,"폐업 위험도: 높음 (0.90). 주요 원인: 운영개월수구간 영향도 5.42, 업종_대분류 영향도 0.90, 매출금액구간 영향도 0.79. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",한식-육류/고기,2020-06-30,2024-04-26,서울특별시 성동구 왕십리로 291-2,왕십리,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
CE412204AA,고기**,"폐업 위험도: 높음 (0.98). 주요 원인: 운영개월수구간 영향도 5.39, 업종_대분류 영향도 1.31, 신규고객비율 영향도 0.62. 고객유형: 30-50대 남성 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",한식-육류/고기,2021-10-06,2024-05-14,서울특별시 성동구 금호산2길 6-1,금남시장,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
BECBEDC4A9,오부**,"폐업 위험도: 높음 (0.94). 주요 원인: 운영개월수구간 영향도 4.71, 업종내매출순위비율 영향도 1.00, 여성30대비율 영향도 0.87. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 모두 낮음",양식,2020-09-24,2024-05-28,서울특별시 성동구 독서당로51길 29-1,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
104031A6C2,한일**,"폐업 위험도: 높음 (0.88). 주요 원인: 운영개월수구간 영향도 4.48, 업종내폐업비율 영향도 1.19, 신규고객비율 영향도 0.87. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",축산물,2020-02-13,2024-05-21,서울특별시 성동구 마장로37길 53,마장동,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
BFC08ED8B3,대패*******,"폐업 위험도: 높음 (1.00). 주요 원인: 운영개월수구간 영향도 6.29, 신규고객비율 영향도 1.06, 업종내매출순위비율 영향도 0.89. 고객유형: 고르게 분포, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",한식-단품요리일반,2021-11-05,2024-06-27,서울특별시 성동구 왕십리로24길 18,왕십리,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
5AFF1D97F2,싸부*******,"폐업 위험도: 낮음 (0.42). 주요 원인: 운영개월수구간 영향도 4.21, 신규고객비율 영향도 0.79, 여성20대이하비율 영향도 0.51. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율 높음",한식-단품요리일반,2023-10-31,2024-07-10,서울특별시 성동구 왕십리로 363,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
A0EB1A75A7,새들*****************,"폐업 위험도: 높음 (0.90). 주요 원인: 운영개월수구간 영향도 2.99, 여성20대이하비율 영향도 1.30, 신규고객비율 영향도 -1.15. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 중위권 경쟁력, 고객관계: 신규 고객 비율 높음",한식-단품요리일반,2021-02-03,2024-07-29,서울특별시 성동구 성덕정11길 5-12,성수,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
F5A4D98110,샹츠*******,"폐업 위험도: 높음 (0.99). 주요 원인: 운영개월수구간 영향도 5.99, 여성20대이하비율 영향도 1.17, 상권내폐업비율 영향도 0.88. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",중식-훠궈/마라탕,2022-01-13,2024-08-08,서울특별시 성동구 왕십리로24길 18,왕십리,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
1521FF7269,강릉***************,"폐업 위험도: 낮음 (0.06). 주요 원인: 운영개월수구간 영향도 5.23, 신규고객비율 영향도 0.61, 객단가구간 영향도 -0.53. 고객유형: 고르게 분포, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율/신규고객 모두 낮음",한식-해물/생선,2022-01-25,2024-09-03,서울특별시 성동구 왕십리로 410,상권없음,,,,,,,,,,,,,,,,,,,,,,,,,,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,,,,
64477AD191,커피**,"폐업 위험도: 높음 (0.99). 주요 원인: 운영개월수구간 영향도 5.41, 업종내폐업비율 영향도 1.73, 신규고객비율 영향도 0.92. 고객유형: 고르게 분포, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",커피전문점,2018-05-14,2024-10-10,서울특별시 성동구 무학로2길 48,왕십리,3.0,,,3.0,,,5.0,,,1.0,,,0.0,,,10.2429,,,8.6616,,,10.9072,,,6.8972,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,3.0,,5.0,
F439455087,처갓**********,"폐업 위험도: 높음 (0.95). 주요 원인: 운영개월수구간 영향도 5.35, 남성50대비율 영향도 0.79, 매출건수구간 영향도 0.56. 고객유형: 고르게 분포, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 신규 고객 비율 높음",치킨,2023-05-15,2024-10-28,서울특별시 성동구 마장로23길 7,상권없음,4.0,,,4.0,,,4.0,,,1.0,,,95.7,,,10.5092,,,4.5124,,,7.0409,,,8.6747,,,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,,,4.0,,5.0,
CF19A96F63,피키**,"폐업 위험도: 중간 (0.55). 주요 원인: 운영개월수구간 영향도 3.44, 여성20대이하비율 영향도 0.65, 매출건수구간 영향도 0.59. 고객유형: 남성 20-30대, 여성 30대 비율 높음, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율/신규고객 모두 낮음",양식,2021-09-09,2024-11-14,서울특별시 성동구 서울숲2길 14,상권없음,2.0,6.0,,2.0,6.0,,3.0,6.0,,5.0,6.0,,11.6,8.1,,0.7546,0.7981,,32.0616,31.7358,,20.7612,20.896,,6.3729,6.0729,,증가 유지,증가 유지,감소 유지,증가 유지,증가 유지,감소 유지,감소 유지,유지 유지,증가 유지,증가 유지,감소 유지,6.0,,2.0,,2.0,6.0
30623F3257,카페****,"폐업 위험도: 낮음 (0.01). 주요 원인: 업종_대분류 영향도 0.35, 상권내매출순위비율 영향도 0.31, 매출건수구간 영향도 -0.29. 고객유형: 고르게 분포, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율/신규고객 보통",카페,2018-01-25,,서울특별시 성동구 매봉길 30,상권없음,4.0,4.0,3.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,6.0,1.0,0.0,0.0,0.0,11.0264,11.736,11.6545,2.414,2.632,2.736,7.4124,6.86,6.783,8.4916,8.4,8.436,증가 감소,감소 감소,감소 증가,유지 감소,증가 감소,증가 증가,유지 유지,유지 유지,유지 유지,유지 유지,증가 감소,5.0,3.0,4.0,5.0,5.0,4.0
305E16DCD0,양자*,"폐업 위험도: 낮음 (0.00). 주요 원인: 운영개월수구간 영향도 -1.38, 취소율구간 영향도 -0.60, 업종_대분류 영향도 0.52. 고객유형: 고르게 분포, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",중식당,2008-10-14,,서울 성동구 왕십리로28길 5,왕십리,2.0,2.0,2.0,2.0,2.0,2.0,4.0,4.0,3.0,1.0,5.0,3.0,0.0,0.0,0.0,16.1238,16.17,16.1424,3.5032,3.33,3.2996,6.2816,6.15,5.8984,5.285,5.46,5.3436,증가 감소,감소 감소,증가 감소,유지 유지,증가 감소,감소 감소,유지 유지,유지 유지,유지 감소,유지 유지,감소 증가,2.0,2.0,2.0,2.0,2.0,2.0
2B2CDD8A48,골드**,"폐업 위험도: 낮음 (0.00). 주요 원인: 유동고객비율 영향도 -0.77, 여성40대비율 영향도 0.52, 여성20대이하비율 영향도 -0.51. 고객유형: 50-60대 남녀 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율/신규고객 보통",축산물,2022-05-02,,서울특별시 성동구 행당로 102,행당,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,11.1136,12.046,12.4974,1.6752,1.6392,1.5004,8.7948,8.4692,8.3886,15.356,14.2064,13.0262,유지 유지,감소 감소,감소 감소,유지 유지,증가 증가,감소 감소,유지 유지,유지 유지,유지 유지,유지 유지,감소 증가,2.0,3.0,3.0,2.0,3.0,3.0
22AE6306D0,프린**,"폐업 위험도: 낮음 (0.05). 주요 원인: 업종내폐업비율 영향도 1.49, 남성30대비율 영향도 0.60, 여성30대비율 영향도 -0.45. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율/신규고객 모두 낮음",주류,2020-12-14,,서울특별시 성동구 금호로 173,상권없음,5.0,5.0,5.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,3.5776,3.9114,5.5671,2.1672,3.0916,3.9057,4.8048,8.6198,8.8917,4.3176,5.8688,5.6785,유지 유지,증가 증가,증가 감소,유지 유지,증가 증가,증가 증가,유지 유지,유지 유지,감소 유지,유지 유지,증가 감소,4.0,5.0,5.0,5.0,5.0,5.0
8221C4D066,봉평*******,"폐업 위험도: 낮음 (0.00). 주요 원인: 남성30대비율 영향도 -0.62, 여성30대비율 영향도 -0.55, 매출금액구간 영향도 -0.53. 고객유형: 남성 20대 이하, 여성 20-30대 중심, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",한식-국수/만두,2018-07-24,,서울특별시 성동구 고산자로 284,왕십리,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,13.2,7.6,6.2,15.2193,14.9952,15.0839,4.2453,4.0592,4.0629,9.1584,9.3456,9.4334,7.9659,7.788,7.3319,유지 유지,증가 증가,감소 감소,유지 유지,감소 증가,감소 증가,감소 감소,유지 유지,유지 유지,유지 유지,감소 증가,3.0,3.0,3.0,3.0,3.0,3.0
F67A482D90,스마*,"폐업 위험도: 낮음 (0.00). 주요 원인: 유동고객비율 영향도 0.75, 객단가구간 영향도 0.67, 매출건수구간 영향도 0.50. 고객유형: 30-50대 남성 중심, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율 높음",분식,2018-08-02,,서울특별시 성동구 무학봉16길 11,왕십리,3.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,8.55,8.517,8.8914,6.85,6.713,6.4548,10.35,10.143,10.1712,9.85,10.094,9.9756,유지 유지,감소 증가,증가 감소,유지 증가,감소 증가,감소 감소,유지 유지,유지 유지,유지 유지,유지 증가,감소 증가,4.0,4.0,3.0,5.0,4.0,3.0
4261C5A667,하울**,"폐업 위험도: 낮음 (0.00). 주요 원인: 취소율구간 영향도 -0.91, 업종내폐업비율 영향도 -0.36, 남성30대비율 영향도 0.34. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 신규 고객 비율 높음",카페,2018-02-20,,서울특별시 성동구 마장로35길 76,상권없음,3.0,4.0,4.0,3.0,4.0,4.0,5.0,5.0,4.0,5.0,6.0,6.0,0.0,0.0,0.0,9.9532,9.7944,10.0206,3.5148,3.7947,3.6018,12.2816,12.927,12.834,8.686,8.6736,8.5284,증가 유지,증가 감소,감소 감소,증가 유지,감소 증가,증가 감소,유지 유지,유지 유지,유지 감소,증가 유지,감소 증가,5.0,4.0,3.0,4.0,4.0,4.0
22BDEE04F4,대박****,"폐업 위험도: 낮음 (0.00). 주요 원인: 여성20대이하비율 영향도 -1.26, 매출건수구간 영향도 0.60, 업종내폐업비율 영향도 0.59. 고객유형: 50-60대 남녀 중심, 경쟁력: 경쟁력 낮음 (매출 순위 하위), 고객관계: 재방문율/신규고객 모두 낮음",축산물,2015-08-10,,서울 성동구 마장로31길 14-2.,상권없음,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,유지 유지,6.0,6.0,6.0,6.0,6.0,6.0
21ED3E83CA,더디******,"폐업 위험도: 낮음 (0.00). 주요 원인: 업종_대분류 영향도 -1.29, 여성30대비율 영향도 0.78, 직장고객비율 영향도 -0.61. 고객유형: 고객유형 미정, 경쟁력: 경쟁력 높음 (매출/고객 모두 상위), 고객관계: 재방문율 높음",식료품,2023-06-13,,서울특별시 성동구 왕십리로 410,상권없음,2.0,2.0,2.0,3.0,3.0,3.0,6.0,5.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,3.1683,3.3062,3.3894,11.2509,10.992,10.9032,16.2976,16.259,16.4472,9.4452,9.389,9.6096,유지 유지,감소 증가,감소 증가,유지 유지,증가 증가,감소 감소,유지 유지,유지 유지,감소 유지,유지 유지,증가 감소,4.0,2.0,2.0,4.0,4.0,2.0
838461E308,찐짜**,"폐업 위험도: 낮음 (0.00). 주요 원인: 업종내매출순위비율 영향도 -0.60, 여성30대비율 영향도 0.56, 남성60대이상비율 영향도 -0.46. 고객유형: 남성 50-60대 중심, 젊은층 적음, 경쟁력: 중위권 경쟁력, 고객관계: 재방문율/신규고객 모두 낮음",백반/가정식,2015-08-24,,서울 성동구 성수동2가,성수,4.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,1.7952,1.6864,1.6492,18.7856,19.1565,18.2988,17.464,16.9334,16.7544,5.1448,5.4395,5.5224,유지 유지,감소 감소,증가 증가,유지 유지,감소 감소,증가 감소,유지 유지,유지 유지,감소 유지,감소 증가,감소 감소,4.0,4.0,4.0,4.0,4.0,4.0
